,EWH,LV,MV,Tariff,EWH flex 50,EWH flex 100,EWH flex 150,EWH flex 200,EWH flex 250,EWH flex 300,EWH flex 350,EWH flex 400,EWH flex 450,EWH flex 500,EWH flex 550,EWH flex 600,EWH flex 650,EWH flex 700,EWH flex,PV
70,2.1,12.456000000000005,32.492875,p,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.05,1.05,1.05,1.05,0.0,0.0,0.0,1.05,0.2741749508162954
71,3.1500000000000004,12.288999999999998,31.5751875,p,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,2.1,2.1,2.1,2.1,1.05,1.05,1.05,1.05,2.1,0.1905097558378703
72,4.2,13.53,30.6575,p,4.2,4.2,4.2,4.2,4.2,4.2,3.1500000000000004,3.1500000000000004,3.1500000000000004,2.1,1.05,1.05,1.05,1.05,3.1500000000000004,0.13708099742673244
73,5.25,14.409,30.23575,p,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,4.2,3.1500000000000004,3.1500000000000004,2.1,2.1,5.25,0.0856625219476306
74,7.35,15.094000000000001,29.814,p,7.35,7.35,7.35,7.35,7.35,6.3,6.3,6.3,6.3,6.3,5.25,5.25,4.2,4.2,6.3,0.020896527090389826
75,7.35,16.5,29.39225,p,7.35,7.35,7.35,7.35,7.35,6.3,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,-0.0010000000000000002
76,11.550000000000002,16.014000000000006,28.9705,p,11.550000000000002,11.550000000000002,11.550000000000002,11.550000000000002,11.550000000000002,10.500000000000002,8.4,8.4,8.4,6.3,6.3,6.3,5.25,5.25,8.4,-0.0010000000000000002
77,10.500000000000002,17.176,26.8498125,p,10.500000000000002,10.500000000000002,10.500000000000002,10.500000000000002,10.500000000000002,9.450000000000001,8.4,7.35,7.35,5.25,5.25,4.2,3.1500000000000004,3.1500000000000004,7.35,-0.0010000000000000002
78,3.1500000000000004,17.413000000000004,24.729125,p,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,2.1,2.1,2.1,2.1,1.05,1.05,1.05,2.1,-0.0002
79,0.0,16.857000000000006,22.6084375,p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,3.1500000000000004,16.416999999999994,20.48775,p,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,0.0
81,8.4,17.84599999999999,19.9871875,p,8.4,8.4,8.4,8.4,8.4,7.35,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0.0
82,7.35,18.31,19.486625,p,7.35,7.35,7.35,7.35,7.35,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0.0
83,2.1,18.742,18.9860625,p,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,0.0
84,0.0,18.911999999999995,18.4855,p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2.1,16.622,16.34525,p,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.05,1.05,1.05,1.05,2.1,0.0
86,4.2,16.578000000000007,14.204999999999998,p,4.2,4.2,4.2,4.2,4.2,4.2,3.1500000000000004,3.1500000000000004,3.1500000000000004,2.1,1.05,1.05,1.05,1.05,3.1500000000000004,0.0
87,3.1500000000000004,15.595999999999995,12.064749999999998,p,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,2.1,2.1,2.1,1.05,1.05,1.05,1.05,1.05,2.1,0.0
88,1.05,15.212000000000002,9.924499999999998,c,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.0
89,0.0,15.312000000000005,8.764874999999998,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1.05,15.928000000000004,7.605249999999999,c,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.0
91,1.05,15.292999999999996,6.445625,c,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.0
92,0.0,16.664000000000005,5.2860000000000005,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,16.209000000000003,5.247999999999998,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,16.311000000000003,5.21,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,15.90599999999999,5.1720000000000015,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,13.35,5.1339999999999995,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,12.751,4.904375,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,11.641999999999998,4.67475,v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,11.017999999999999,4.445125000000001,v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,9.478999999999994,4.2155000000000005,v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,9.432000000000004,4.303000000000001,v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,8.786999999999999,4.3905,v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,7.891999999999999,4.478,v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,7.990999999999995,4.5655,sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,8.202999999999998,4.57375,sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,7.772999999999996,4.582,sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,7.556999999999997,4.590249999999998,sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,8.386999999999997,4.5985,sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,7.568999999999999,4.5627499999999985,sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,8.955,4.526999999999999,sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,7.375999999999998,4.49125,sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,6.8569999999999975,4.4555,sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,6.778999999999999,4.469875,sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,6.859999999999997,4.4842499999999985,sv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2.1,6.634999999999999,4.498625,sv,2.1,2.1,2.1,2.1,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,3.1500000000000004,6.653999999999996,4.513,sv,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2.1,6.662999999999997,5.37425,sv,2.1,2.1,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,1.05,6.721999999999997,6.2355,sv,1.05,1.05,1.05,1.05,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1.05,6.378999999999998,7.09675,sv,1.05,1.05,1.05,1.05,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,4.2,7.246999999999997,7.957999999999999,v,4.2,4.2,4.2,4.2,3.1500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,4.2,7.304999999999995,9.97875,v,4.2,4.2,4.2,4.2,3.1500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,3.1500000000000004,7.527,11.9995,v,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,4.2,8.066999999999995,14.02025,v,4.2,4.2,4.2,4.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,2.1,9.020000000000003,16.041,v,2.1,2.1,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2.1,9.665999999999991,16.5690625,v,2.1,2.1,2.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4.2,10.219,17.097125,c,4.2,4.2,4.2,4.2,3.1500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,7.35,10.791000000000004,17.6251875,c,7.35,7.35,7.35,7.35,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006666666666666669
128,7.35,11.378000000000007,18.15325,c,7.35,7.35,7.35,7.35,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.05,3.1500000000000004,3.1500000000000004,0.0,0.1970915682671579
129,4.2,10.297999999999998,21.6190625,c,4.2,4.2,4.2,4.2,4.2,0.0,0.0,0.0,0.0,2.1,4.2,5.25,7.35,7.35,0.0,0.30785392974761794
130,6.3,10.648999999999996,25.084875,c,6.3,6.3,6.3,6.3,5.25,0.0,0.0,0.0,0.0,2.1,4.2,4.2,4.2,4.2,0.0,0.2278802123534545
131,7.35,10.472000000000003,28.5506875,c,7.35,7.35,7.35,7.35,5.25,0.0,0.0,0.0,0.0,2.1,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,0.0,0.3479444309968768
132,6.3,10.268,32.0165,c,6.3,6.3,6.3,6.3,4.2,0.0,0.0,0.0,0.0,2.1,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,0.0,0.4233035331655767
133,6.3,11.873000000000005,34.018375,c,6.3,6.3,6.3,6.3,4.2,0.0,0.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,0.5790191986980682
134,3.1500000000000004,12.39,36.02025,c,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,2.1,0.0,2.1,4.2,4.2,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,3.1500000000000004,4.2,0.7417185274787038
