,cost2,E SC2,SCR2,SSR2,SCR2 ewh,cost3,E SC3,SCR3,SCR3 ewh
0,10274.28107931875,0.0,,0.0,,10273.03556931875,0.0,,
1,10240.993391954116,667.9589583396162,100.0,0.6977217928536211,57.163024166098076,10239.675011954116,667.9589583396162,100.0,57.163024166098076
2,10207.705704589485,1335.9179166792323,100.0,1.3954435857072423,52.66683487090046,10206.251034589483,1335.9179166792323,100.0,52.66683487090046
3,10174.418017224849,2003.8768750188488,100.0,2.093165378560864,48.52721504383354,10172.847217224848,2003.8768750188488,100.0,48.48482380221096
4,10141.130329860216,2671.8358333584647,100.0,2.7908871714144845,45.27279203108051,10139.582419860217,2671.8358333584647,100.0,45.208645925619294
5,10107.842642495581,3339.794791698081,100.0,3.4886089642681064,42.60842991852999,10106.092292495581,3339.794791698081,100.0,42.542624059717596
6,10074.554955130949,4007.7537500376975,100.0,4.186330757121728,40.31133447343634,10072.772055130947,4007.7537500376975,100.0,40.24552861462393
7,10041.267267766314,4675.712708377314,100.0,4.884052549975349,38.29113218850161,10039.513977766315,4675.712708377314,100.0,38.22532632968919
8,10007.979580401681,5343.671666716929,100.0,5.581774342828969,36.54802416825264,10005.96442040168,5343.671666716929,100.0,36.50872534656268
9,9974.691893037045,6011.630625056547,100.0,6.279565009058221,34.98394505309374,9972.585698037046,6011.630625056547,100.0,34.92617889204714
10,9941.404205672414,6679.589583396162,100.0,6.977294454509132,33.54831742703665,9939.245300672414,6679.589583396162,100.0,33.54020141686586
11,9908.11651830778,7347.548541735778,100.0,7.6750238999600455,32.20410947811727,9905.897973307778,7347.548541735778,100.0,32.1808293544213
12,9874.828830943146,8015.507500075395,100.0,8.37275334541096,30.957087078723198,9872.461605943146,8015.507500075395,100.0,30.90951137512223
13,9841.541143578514,8683.466458415012,100.0,9.070482790861874,29.772365705335567,9839.241118578513,8683.466458415012,100.0,29.755454044432007
14,9808.253456213877,9351.425416754628,100.0,9.768212236312786,28.664619893608155,9805.848641213877,9351.425416754628,100.0,28.841954638615803
15,9774.965768849244,10019.384375094243,100.0,10.465941681763699,27.644827983658153,9772.398203849245,10019.384375094243,100.0,27.948196897594418
16,9741.678081484612,10687.343333433859,100.0,11.163671127214613,26.69072157896809,9739.364301484611,10687.343333433859,100.0,27.1498494460234
17,9708.3914315204,11355.275554649208,99.99976454062093,11.861242550037742,25.814206878269786,9705.861876520401,11355.275554649208,99.99976454062093,26.444775525121887
18,9675.454711217857,12014.78332136834,99.92948727829837,12.551935273059403,25.000591110418284,9672.354944795317,12016.50528335727,99.94380919939039,25.868983805718393
19,9643.196293008687,12659.265920665726,99.74821737183554,13.244372363803214,24.24574005143699,9639.333703998323,12679.404970003554,99.9069022658571,25.434696855478112
20,9611.853113227793,13283.951987594502,99.43688771399354,13.934488094299455,23.5401297069117,9606.384374046802,13339.93600692729,99.85595552223097,25.11874189852196
21,9581.233632667705,13892.367873642039,99.03921776282762,14.628950634721427,22.880273155941815,9573.37722780707,14004.921055433073,99.84161366701692,25.025963262346657
22,9551.205851924744,14488.596082793221,98.59476259663097,15.325619035607685,22.249694395581223,9540.065684675192,14671.710637521732,99.84085545119584,24.972386286481466
23,9521.655106127833,15074.775124166343,98.12354445065967,16.01781066422214,21.650585145828106,9507.030474484674,15334.536251757392,99.81436121839194,24.80519342573873
24,9492.616699056101,15651.144731318716,97.63040413330971,16.712544976052154,21.082985310836257,9473.548334966943,15999.45968482585,99.8031608396309,24.742323973233585
25,9464.030458134288,16218.093246001772,97.12029784773614,17.40796565531198,20.543774197762414,9440.272451470451,16665.208386639668,99.79779852382148,24.667909438004767
26,9435.888512236903,16775.79418887551,96.59618234960962,18.10748183120896,20.03120708297171,9407.265483346486,17334.877839807,99.81542465110832,24.546094749170674
27,9408.334887524697,17322.413495194276,96.0494446825251,18.78066079478732,19.538943474967873,9374.787208643611,17979.333828040875,99.69194133508917,24.397318674486645
28,9381.161177015432,17861.828142878832,95.50323799234076,19.437895420175032,19.066310813729284,9342.858288096808,18608.5257857846,99.49566486647235,24.156841575412646
29,9354.341669641077,18394.326105985918,94.95899398963769,20.086166505421907,18.621584702762075,9311.438948336337,19229.136656726638,99.26862564526421,23.807000874706187
30,9327.719337907129,18922.372309793624,94.4288171877608,20.716343839780553,18.195003119376683,9280.746191962784,19832.425794904553,98.97028126899268,23.44084551399358
31,9301.264824979107,19446.482653956973,93.91383770381017,21.336782238760893,17.791471049653197,9250.195975087003,20426.391535348517,98.64615898211609,23.13180627213831
32,9275.04716183108,19964.772796855472,93.40381502668896,21.94613917168357,17.404043155307306,9220.426395758155,21009.748630030128,98.29266251933755,22.794052970007396
33,9248.939512889066,20480.87357813922,92.9147704244625,22.54784373157882,17.031858298194994,9191.153902181182,21585.77986058266,97.92735512609153,22.375170788348214
34,9223.0093886706,20992.560590922712,92.4350583169023,23.13332951460717,16.677962290807347,9162.52314172953,22146.28433162664,97.51516852030817,21.98688696445034
35,9197.1786430606,21501.780970307653,91.97220749591246,23.704954435990423,16.337160995602463,9134.582372201243,22693.51935164413,97.0697763829028,21.597511815828224
36,9171.447934440379,22008.50531766784,91.524690596991,24.268001008987525,16.0113925932721,9107.335302014388,23232.542041381384,96.61497641150754,21.178576747302294
37,9145.832055206643,22512.492079942673,91.0902869545744,24.82572826118626,15.698103543957764,9080.131736742684,23766.211703178033,96.1631007432725,20.772595810024047
38,9120.384753543798,23012.703579063193,90.66387313859737,25.37301127494643,15.39903126163224,9053.317072950269,24290.40409810953,95.69767011816343,20.380799005879464
