SANTIAGO, -, CHL,,,,,
month,day,hour,Ta,G_Gh,G_Bn,G_Dh,FF
1,8,4,14,0,0,0,1.5
1,8,5,13.2,0,0,0,1
1,8,6,13.6,1,0,1,1
1,8,7,14,56,25,53,2.1
1,8,8,17,248,283,149,3.1
1,8,9,20,487,583,173,2.1
1,8,10,23,712,779,161,2.1
1,8,11,24.7,895,873,159,2.6
1,8,12,26,1021,930,151,4.6
1,8,13,28,1080,938,162,4.1
1,8,14,27,1067,936,160,5.1
1,8,15,27,984,928,142,6.2
1,8,16,27,834,856,151,6.7
1,8,17,26,632,745,147,5.7
1,8,18,24,398,536,146,5.7
1,8,19,21,167,213,109,4.6
1,8,20,19.2,19,0,19,4.6
1,8,21,17,0,0,0,4.6
1,8,22,16,0,0,0,4.1
1,8,23,14.6,0,0,0,3.6
1,8,24,14,0,0,0,2.1
1,9,1,13,0,0,0,2.6
1,9,2,12.5,0,0,0,2.6
1,9,3,12,0,0,0,2.1
1,9,4,12,0,0,0,2.6
1,9,5,11.6,0,0,0,2.6
1,9,6,10,1,0,1,2.6
1,9,7,11,54,21,51,1.5
1,9,8,12.6,240,261,150,1
1,9,9,16,474,537,186,2.1
1,9,10,18,695,726,182,1.5
1,9,11,20.7,875,812,190,2.1
1,9,12,22,1015,868,203,3.6
1,9,13,25,1079,936,163,4.6
1,9,14,26.6,1066,934,161,5.1
1,9,15,27,982,919,147,5.7
1,9,16,26,833,849,154,5.7
1,9,17,25.9,630,739,150,5.7
1,9,18,24,398,534,146,6.2
1,9,19,22,167,213,109,6.2
1,9,20,20.2,19,0,19,3.1
1,9,21,19,0,0,0,4.6
1,9,22,18,0,0,0,3.6
1,9,23,17.4,0,0,0,3.1
1,9,24,16,0,0,0,1.5
1,10,1,16,0,0,0,1
1,10,2,14.7,0,0,0,0
1,10,3,14,0,0,0,1.5
1,10,4,14,0,0,0,1
1,10,5,13.6,0,0,0,1
1,10,6,13,1,0,1,0.5
1,10,7,13,53,22,50,0.5
1,10,8,15.3,240,299,138,0.5
1,10,9,19,478,565,176,1.5
1,10,10,22,705,767,164,0.5
1,10,11,24.2,890,869,160,1.5
1,10,12,26,1014,989,91,2.6
1,10,13,28,1075,928,168,3.1
1,10,14,29,1063,929,164,4.6
1,10,15,31,980,915,150,4.6
1,10,16,30,834,873,136,5.1
1,10,17,28.5,630,794,114,6.2
1,10,18,27,396,568,129,6.2
1,10,19,24,167,210,109,6.7
1,10,20,22.6,19,0,19,5.7
1,10,21,22,0,0,0,4.6
1,10,22,20,0,0,0,3.6
1,10,23,18.6,0,0,0,3.6
1,10,24,18,0,0,0,1.5
1,11,1,16,0,0,0,1.5
1,11,2,15.2,0,0,0,2.6
1,11,3,15,0,0,0,1.5
1,11,4,15,0,0,0,1
1,11,5,14,0,0,0,0
1,11,6,13,1,0,1,0
1,11,7,14,51,41,45,0.5
1,11,8,17,238,300,137,1
1,11,9,20,476,564,176,1
1,11,10,23,703,768,163,0
1,11,11,25.8,888,867,160,1.5
1,11,12,27,1014,921,155,3.1
1,11,13,28,1076,933,164,4.6
1,11,14,28.2,1065,934,160,7.2
1,11,15,28,983,923,145,7.2
1,11,16,28,835,856,151,7.2
1,11,17,27.8,634,752,145,7.2
1,11,18,26,399,538,145,7.2
1,11,19,25,167,212,109,6.7
1,11,20,23.2,19,0,19,6.2
1,11,21,22,0,0,0,4.1
1,11,22,20,0,0,0,3.1
1,11,23,18.4,0,0,0,3.1
1,11,24,18.2,0,0,0,2.6
1,12,1,18,0,0,0,2.1
1,12,2,16.5,0,0,0,1
1,12,3,15,0,0,0,1
1,12,4,14,0,0,0,0.5
1,12,5,13.7,0,0,0,0
1,12,6,14,1,0,1,0.5
1,12,7,13,49,20,47,1
1,12,8,16.8,236,298,136,0.5
1,12,9,20,474,567,174,0.5
1,12,10,23,703,777,159,1
1,12,11,25.6,890,880,153,2.1
1,12,12,27.3,1019,938,145,3.1
1,12,13,29,1078,941,159,4.1
1,12,14,30,1068,944,154,3.6
1,12,15,30,985,929,142,5.1
1,12,16,29,836,857,150,6.2
1,12,17,29,633,745,148,6.2
1,12,18,27.9,399,503,162,5.5
1,12,19,26.8,168,179,119,4.8
1,12,20,25.7,19,0,19,4.1
1,12,21,22.8,0,0,0,3.9
1,12,22,20,0,0,0,3.6
1,12,23,19.2,0,0,0,3.1
1,12,24,19,0,0,0,1.5
1,13,1,17,0,0,0,1
1,13,2,16.2,0,0,0,0
1,13,3,14,0,0,0,1
1,13,4,13,0,0,0,1
1,13,5,13,0,0,0,0.5
1,13,6,13,1,0,1,0.5
1,13,7,14,48,16,45,1
1,13,8,18.8,234,257,148,0.5
