SANTIAGO, -, CHL,,,,,
month,day,hour,Ta,G_Gh,G_Bn,G_Dh,FF
3,31,19,17,3,0,3,4.1
3,31,20,16.2,0,0,0,3.1
3,31,21,15.6,0,0,0,3.6
3,31,22,14.9,0,0,0,3.1
3,31,23,14.1,0,0,0,3.1
3,31,24,13.2,0,0,0,1.5
4,1,1,12.2,0,0,0,1.5
4,1,2,11.1,0,0,0,0.5
4,1,3,10.1,0,0,0,0
4,1,4,9.2,0,0,0,0
4,1,5,8.5,0,0,0,0
4,1,6,7.8,0,0,0,2.1
4,1,7,9,0,0,0,2.1
4,1,8,9.8,38,8,37,0
4,1,9,13.9,220,270,134,0
4,1,10,18,435,563,153,0
4,1,11,21,620,705,164,2.1
4,1,12,23,746,816,138,2.1
4,1,13,25.3,806,851,134,3.1
4,1,14,27.6,790,846,132,4.1
4,1,15,18,701,808,127,4.1
4,1,16,23,549,722,122,4.1
4,1,17,28,347,520,124,4.1
4,1,18,26,134,190,89,3.6
4,1,19,22.9,11,0,11,3.1
4,1,20,19.9,0,0,0,2.6
4,1,21,19,0,0,0,3.1
4,1,22,16.7,0,0,0,1.5
4,1,23,14.4,0,0,0,0
4,1,24,14,0,0,0,0
4,2,1,12,0,0,0,1
4,2,2,11.9,0,0,0,0
4,2,3,12,0,0,0,0
4,2,4,10,0,0,0,1
4,2,5,10.1,0,0,0,0
4,2,6,10,0,0,0,0
4,2,7,10.4,0,0,0,0
4,2,8,10.8,37,4,36,0
4,2,9,14.5,217,306,120,0.7
4,2,10,18.3,430,554,154,1.4
4,2,11,22,612,736,139,2.1
4,2,12,24,739,808,140,4.1
4,2,13,26,796,863,119,1
4,2,14,27,780,855,118,3.1
4,2,15,28,693,799,129,3.6
4,2,16,27,540,710,124,6.7
4,2,17,24.8,340,508,124,6.2
4,2,18,22,129,181,87,6.2
4,2,19,19,10,0,10,4.6
4,2,20,16.9,0,0,0,3.6
4,2,21,16,0,0,0,4.6
4,2,22,14,0,0,0,4.1
4,2,23,13,0,0,0,4.1
4,2,24,13,0,0,0,3.6
4,3,1,13,0,0,0,2.6
4,3,2,12.9,0,0,0,2.1
4,3,3,13,0,0,0,1.5
4,3,4,13,0,0,0,1.5
4,3,5,12.5,0,0,0,1.5
4,3,6,12,0,0,0,1
4,3,7,12,0,0,0,0.5
4,3,8,12.3,11,0,11,1
4,3,9,13,64,0,64,0.5
4,3,10,13,128,0,128,0.5
4,3,11,13.4,183,1,182,1
4,3,12,15,416,80,357,1
4,3,13,16,595,284,373,3.1
4,3,14,18.4,673,498,290,4.1
4,3,15,20,633,596,215,5.1
4,3,16,20,511,582,172,4.6
4,3,17,20.3,327,467,131,4.6
4,3,18,19,123,167,86,5.1
4,3,19,17,9,0,9,5.1
4,3,20,15.8,0,0,0,3.1
4,3,21,15,0,0,0,1
4,3,22,16,0,0,0,1.5
4,3,23,15.8,0,0,0,1
4,3,24,16,0,0,0,1.5
4,4,1,16,0,0,0,1.5
4,4,2,16,0,0,0,1.5
4,4,3,15.8,0,0,0,1.5
4,4,4,15.6,0,0,0,1.5
4,4,5,15.4,0,0,0,1.5
4,4,6,15.2,0,0,0,1.8
4,4,7,15,0,0,0,2.1
4,4,8,15,10,0,10,2.1
4,4,9,15.5,63,0,63,2.3
4,4,10,16,127,0,127,2.6
4,4,11,17.5,181,1,180,2.1
4,4,12,18.2,218,3,216,3.1
4,4,13,19,235,4,233,4.1
4,4,14,19.2,231,4,228,3.6
4,4,15,20,204,2,202,3.6
4,4,16,19,158,0,158,4.1
4,4,17,19.2,99,0,99,4.1
4,4,18,18.1,36,0,36,4.6
4,4,19,17,3,0,3,5.1
4,4,20,16.2,0,0,0,4.1
4,4,21,15.5,0,0,0,3.6
4,4,22,14.8,0,0,0,3.1
4,4,23,14.1,0,0,0,2.6
4,4,24,14,0,0,0,2.3
4,5,1,14,0,0,0,2.1
4,5,2,13,0,0,0,2.6
4,5,3,12.9,0,0,0,2.4
4,5,4,12.8,0,0,0,2.3
4,5,5,12.7,0,0,0,2.1
4,5,6,12.8,0,0,0,1.5
4,5,7,13,0,0,0,1
4,5,8,13,18,0,18,0
4,5,9,15,157,107,124,0
4,5,10,16,366,301,219,0.5
4,5,11,18.2,567,565,210,1
4,5,12,19,670,592,238,3.1
4,5,13,20,703,489,325,4.1
4,5,14,19.6,667,521,271,3.6
4,5,15,21,657,707,168,4.1
4,5,16,22,523,705,120,4.1
4,5,17,21.2,324,497,120,4.6
4,5,18,20,117,135,87,4.1
4,5,19,17,8,0,8,4.6
4,5,20,16.1,0,0,0,4.1
4,5,21,14,0,0,0,1
4,5,22,14,0,0,0,2.1
4,5,23,12.1,0,0,0,1
4,5,24,9,0,0,0,1
4,6,1,9,0,0,0,0
4,6,2,7.7,0,0,0,0
4,6,3,8,0,0,0,0
4,6,4,7.1,0,0,0,0.5
4,6,5,6.3,0,0,0,0
4,6,6,6.6,0,0,0,0.7
4,6,7,6.9,0,0,0,1.5
4,6,8,7.2,31,0,31,0.5
4,6,9,11,205,255,127,0.5
4,6,10,14.7,417,554,148,0.7
4,6,11,18.5,596,738,132,1
4,6,12,20,720,806,134,1.5
4,6,13,22,776,862,113,2.1
4,6,14,23.8,762,834,131,3.1
4,6,15,23.9,669,762,146,4.1
4,6,16,24,508,611,161,5.1
4,6,17,24.1,300,364,152,5.1
4,6,18,23,106,121,80,5.7
4,6,19,20,7,0,7,3.6
4,6,20,17.9,0,0,0,4.6
4,6,21,16,0,0,0,2.6
4,6,22,15,0,0,0,1.5
4,6,23,14,0,0,0,3.1
4,6,24,14,0,0,0,2.1
4,7,1,13,0,0,0,2.6
4,7,2,12.4,0,0,0,0.5
4,7,3,12,0,0,0,2.1
4,7,4,12,0,0,0,1
4,7,5,12,0,0,0,1.1
4,7,6,12,0,0,0,1.2
4,7,7,12,0,0,0,1.4
4,7,8,12,22,0,22,1.5
4,7,9,15.5,166,151,120,1.2
4,7,10,19,359,341,195,1
4,7,11,20.4,559,563,206,2.6
4,7,12,21,703,706,193,4.6
4,7,13,23.2,770,802,157,4.4
4,7,14,25.4,757,836,129,4.1
4,7,15,26,671,811,117,5.1
4,7,16,25,514,688,127,5.1
4,7,17,23.9,314,460,130,5.1
4,7,18,21.4,109,125,83,4.1
4,7,19,19,6,0,6,3.1
4,7,20,16.2,0,0,0,2.6
4,7,21,15,0,0,0,2.1
4,7,22,14,0,0,0,2.1
4,7,23,13.4,0,0,0,1.5
4,7,24,12,0,0,0,0.5
4,8,1,10,0,0,0,0
4,8,2,9.2,0,0,0,0.5
4,8,3,9,0,0,0,0.5
4,8,4,8,0,0,0,0
4,8,5,7.4,0,0,0,0
4,8,6,6,0,0,0,0
4,8,7,6,0,0,0,0
4,8,8,6,28,0,28,1.5
4,8,9,11,200,252,124,1
4,8,10,16,409,547,147,0.5
4,8,11,19,588,692,157,0.5
4,8,12,22,703,834,104,1
4,8,13,24,766,827,137,3.1
4,8,14,25.9,751,835,128,2.6
4,8,15,26,660,792,123,2.6
4,8,16,27,510,696,122,2.6
4,8,17,26,307,478,118,3.6
4,8,18,24,103,146,74,2.6
4,8,19,22,6,0,6,2.4
4,8,20,20,0,0,0,2.3
4,8,21,18,0,0,0,2.1
4,8,22,16.4,0,0,0,1.8
4,8,23,14.8,0,0,0,1.5
4,8,24,15,0,0,0,2.1
4,9,1,13.3,0,0,0,1.8
4,9,2,11.6,0,0,0,1.5
4,9,3,10.9,0,0,0,1.5
4,9,4,10.1,0,0,0,1.5
4,9,5,9.4,0,0,0,1.5
4,9,6,9,0,0,0,1.5
4,9,7,7,0,0,0,2.1
4,9,8,9.4,27,0,27,0.5
4,9,9,13,196,247,123,1
4,9,10,16.5,405,547,145,1
4,9,11,20,581,726,132,1
4,9,12,22,704,799,133,0.5
4,9,13,24.2,761,831,132,1.5
4,9,14,26.5,743,824,131,2.6
4,9,15,28,652,789,120,2.1
4,9,16,28,499,698,113,2.6
4,9,17,27.2,301,473,117,2.6
4,9,18,27,100,134,73,2.1
4,9,19,24,5,0,5,1.5
4,9,20,19.7,0,0,0,1.5
4,9,21,18,0,0,0,1
4,9,22,16.5,0,0,0,0.7
4,9,23,15.1,0,0,0,0.5
4,9,24,14,0,0,0,0
4,10,1,12.3,0,0,0,0.5
4,10,2,10.7,0,0,0,1
4,10,3,10,0,0,0,0.8
4,10,4,8.7,0,0,0,0.7
4,10,5,7.5,0,0,0,0.5
4,10,6,8,0,0,0,0
4,10,7,6,0,0,0,0.5
4,10,8,8.3,26,0,26,0.5
4,10,9,14,193,280,111,0.5
4,10,10,18,400,530,149,1.5
4,10,11,22,577,727,130,0
4,10,12,25,700,801,130,0.5
4,10,13,26.7,755,833,127,1.5
4,10,14,28.5,737,823,129,2.6
4,10,15,28.6,647,786,122,2.9
4,10,16,28.7,494,672,126,3.3
4,10,17,28.8,296,439,127,3.6
4,10,18,25.9,96,107,76,3.1
4,10,19,23,5,0,5,2.6
4,10,20,21,0,0,0,2.6
4,10,21,17,0,0,0,0
4,10,22,15,0,0,0,1.5
4,10,23,12.8,0,0,0,0
4,10,24,13,0,0,0,0
4,11,1,10.9,0,0,0,0
4,11,2,8.9,0,0,0,0
4,11,3,8,0,0,0,0
4,11,4,7.9,0,0,0,0
4,11,5,7.8,0,0,0,0
4,11,6,7,0,0,0,0
4,11,7,7,0,0,0,0
4,11,8,8,25,0,25,0
4,11,9,14,190,220,127,0
4,11,10,18,397,536,145,0.5
4,11,11,23.8,574,687,154,0.5
4,11,12,26,696,783,143,1
4,11,13,29,751,832,128,1.5
4,11,14,29.5,732,825,127,3.1
4,11,15,30,641,788,118,3.1
4,11,16,27,486,687,113,3.6
4,11,17,25.6,290,460,115,3.1
4,11,18,22.8,92,120,70,2.8
4,11,19,20,4,0,4,2.6
4,11,20,17.3,0,0,0,2.6
4,11,21,16,0,0,0,2.1
4,11,22,14,0,0,0,2.1
4,11,23,13.2,0,0,0,1.5
4,11,24,12,0,0,0,1.5
4,12,1,11.4,0,0,0,1.5
4,12,2,10.8,0,0,0,1.5
4,12,3,10.9,0,0,0,1
4,12,4,10.9,0,0,0,0.7
4,12,5,11,0,0,0,0.5
4,12,6,10.8,0,0,0,0.3
4,12,7,10.7,0,0,0,0.2
4,12,8,10.5,7,0,7,0
4,12,9,10.7,56,0,56,0.2
4,12,10,11,118,0,118,0.5
4,12,11,12.8,170,1,170,1
4,12,12,14.2,275,12,266,1.4
4,12,13,15.5,361,59,318,1.7
4,12,14,16.9,409,76,354,2.1
4,12,15,17.4,358,77,307,2.3
4,12,16,18,272,41,250,2.6
4,12,17,17.2,161,20,154,2.6
4,12,18,17,66,5,65,1
4,12,19,16,3,0,3,1
4,12,20,14.5,0,0,0,1
4,12,21,12,0,0,0,0
4,12,22,13,0,0,0,1
4,12,23,12.5,0,0,0,1
4,12,24,10,0,0,0,1
4,13,1,9,0,0,0,1
4,13,2,8.5,0,0,0,1
4,13,3,8,0,0,0,1
4,13,4,7.7,0,0,0,0.7
4,13,5,7.5,0,0,0,0.5
4,13,6,6.7,0,0,0,0.2
4,13,7,6,0,0,0,0
4,13,8,7.2,22,0,22,0
4,13,9,10,185,214,124,1
4,13,10,15,386,510,150,1
4,13,11,19,562,715,130,0.5
4,13,12,22,684,794,129,1.5
4,13,13,25,735,813,133,1.5
4,13,14,27.1,711,790,138,1.5
4,13,15,28,604,666,168,2.6
4,13,16,27,444,494,180,3.1
4,13,17,25.7,245,262,148,3.1
4,13,18,23.3,78,62,68,1.5
4,13,19,21,3,0,3,1.5
4,13,20,17.3,0,0,0,2.1
4,13,21,17,0,0,0,1.5
4,13,22,15,0,0,0,2.1
4,13,23,13.9,0,0,0,1
4,13,24,11,0,0,0,0.5
4,14,1,10,0,0,0,0
4,14,2,8.3,0,0,0,0
4,14,3,7.6,0,0,0,0
4,14,4,7,0,0,0,0
4,14,5,6.4,0,0,0,0.5
4,14,6,5.7,0,0,0,0.5
4,14,7,5,0,0,0,0.5
4,14,8,6.1,22,0,22,0.5
4,14,9,11,182,214,122,1
4,14,10,15.2,386,529,143,0.7
4,14,11,19.5,561,681,152,0.5
4,14,12,22.2,681,778,140,0.7
4,14,13,25,732,819,129,1
4,14,14,25.9,700,745,163,2.1
4,14,15,26,598,661,168,2.6
4,14,16,26,435,474,184,2.6
4,14,17,24.3,239,251,147,3.1
4,14,18,21,79,93,63,3.1
4,14,19,18,3,0,3,3.6
4,14,20,15.8,0,0,0,2.1
4,14,21,15,0,0,0,1.5
4,14,22,14,0,0,0,1.5
4,14,23,12.8,0,0,0,0.5
4,14,24,11.8,0,0,0,0.3
4,15,1,10.8,0,0,0,0.2
4,15,2,9.8,0,0,0,0
4,15,3,9,0,0,0,0.5
4,15,4,9,0,0,0,0
4,15,5,10.1,0,0,0,1
4,15,6,10,0,0,0,0.5
4,15,7,9.7,0,0,0,0.2
4,15,8,9.5,6,0,6,0
4,15,9,10.7,87,0,87,0.5
4,15,10,12,242,98,198,1
4,15,11,14.1,416,236,275,0.5
4,15,12,16.7,621,560,234,0.8
4,15,13,19.2,715,763,157,1.2
4,15,14,21.8,705,812,123,1.5
4,15,15,21.9,614,770,117,2
4,15,16,21.9,463,668,112,2.6
4,15,17,22,267,385,128,3.1
4,15,18,20,77,90,62,3.1
4,15,19,19,3,0,3,2.1
4,15,20,17.1,0,0,0,1.5
4,15,21,16,0,0,0,1.5
4,15,22,15,0,0,0,1.5
4,15,23,14.9,0,0,0,1
4,15,24,14,0,0,0,0.5
4,16,1,15,0,0,0,0.5
4,16,2,12.7,0,0,0,0.5
4,16,3,13,0,0,0,0.5
4,16,4,13,0,0,0,0.5
4,16,5,12.8,0,0,0,1
4,16,6,13,0,0,0,1
4,16,7,13,0,0,0,1.5
4,16,8,13.6,6,0,6,1.5
4,16,9,14,70,0,70,1
4,16,10,15,184,20,175,0.7
4,16,11,16.1,312,78,266,0.5
4,16,12,17,379,80,324,0.5
4,16,13,18,409,83,349,1
4,16,14,19.5,397,81,339,1.5
4,16,15,16,297,54,263,4.1
4,16,16,15,183,7,179,3.6
4,16,17,15.1,79,0,79,2.6
4,16,18,12,22,0,22,3.6
4,16,19,12,1,0,1,2.6
4,16,20,10.5,0,0,0,1
4,16,21,9,0,0,0,1
4,16,22,9,0,0,0,0
4,16,23,6.8,0,0,0,0
4,16,24,7,0,0,0,1
4,17,1,6,0,0,0,0
4,17,2,5.4,0,0,0,1
4,17,3,7,0,0,0,1
4,17,4,7,0,0,0,0
4,17,5,7.3,0,0,0,0
4,17,6,7.1,0,0,0,1
4,17,7,7,0,0,0,0.5
4,17,8,8.7,6,0,6,0.5
4,17,9,10,52,0,52,0.5
4,17,10,11,112,0,112,0.5
4,17,11,13.4,164,0,164,0.5
4,17,12,16,376,79,322,1
4,17,13,18,537,268,343,0.5
4,17,14,20.6,605,466,276,1.5
4,17,15,22,483,325,276,2.1
4,17,16,23,317,157,236,1.5
4,17,17,21.7,147,26,138,2.1
4,17,18,20,45,0,45,2.1
4,17,19,18,1,0,1,1.5
4,17,20,16.6,0,0,0,1
4,17,21,16,0,0,0,1.5
4,17,22,16,0,0,0,1.5
4,17,23,14.4,0,0,0,1
4,17,24,12.9,0,0,0,0
4,18,1,11.3,0,0,0,0
4,18,2,9.8,0,0,0,0
4,18,3,9.4,0,0,0,0.2
4,18,4,9,0,0,0,0.5
4,18,5,8.6,0,0,0,1
4,18,6,8,0,0,0,0.5
4,18,7,8,0,0,0,1
4,18,8,9,11,0,11,1
4,18,9,12.5,128,78,107,1
4,18,10,16,322,282,196,1
4,18,11,19.1,511,545,191,1.5
4,18,12,20,575,482,248,2.3
4,18,13,21,535,265,344,3.1
4,18,14,21.4,391,89,329,3.1
4,18,15,21,293,16,283,2.1
4,18,16,22,179,7,175,2.1
4,18,17,21.1,76,0,76,1.5
4,18,18,19,33,0,33,1.5
4,18,19,17,1,0,1,2.1
4,18,20,15.3,0,0,0,2.1
4,18,21,14,0,0,0,2.1
4,18,22,13,0,0,0,1.5
4,18,23,12,0,0,0,2.1
4,18,24,11,0,0,0,1.5
4,19,1,11,0,0,0,1.5
4,19,2,10,0,0,0,1
4,19,3,10,0,0,0,1
4,19,4,10,0,0,0,1.5
4,19,5,9.9,0,0,0,1
4,19,6,9,0,0,0,1
4,19,7,8,0,0,0,1
4,19,8,8.7,11,0,11,1
4,19,9,10,82,0,82,2.1
4,19,10,13,146,1,145,2.6
4,19,11,12.5,161,0,161,2.6
4,19,12,14,196,2,195,2.1
4,19,13,13.8,211,1,211,2.1
4,19,14,13.7,205,1,204,2.1
4,19,15,14,178,1,177,1.5
4,19,16,14,132,0,132,1.5
4,19,17,14.1,75,0,75,1.5
4,19,18,14,19,0,19,1
4,19,19,13,0,0,0,1
4,19,20,11.6,0,0,0,0
4,19,21,11,0,0,0,0.5
4,19,22,11,0,0,0,1
4,19,23,10.2,0,0,0,0.5
4,19,24,9,0,0,0,1
4,20,1,9.4,0,0,0,0.7
4,20,2,9.8,0,0,0,0.5
4,20,3,10,0,0,0,1
4,20,4,9,0,0,0,0.5
4,20,5,8.6,0,0,0,0
4,20,6,8,0,0,0,0
4,20,7,8,0,0,0,0
4,20,8,8.1,10,0,10,0.5
4,20,9,9,80,0,80,0
4,20,10,11,144,2,144,0.5
4,20,11,11.9,160,0,160,0
4,20,12,13,194,2,193,0.5
4,20,13,14,209,3,207,0.5
4,20,14,15.4,203,3,201,0.5
4,20,15,16,206,4,204,1
4,20,16,16,174,4,172,0.5
4,20,17,17,109,0,109,1
4,20,18,15.9,30,0,30,1.4
4,20,19,14.8,1,0,1,1.7
4,20,20,13.7,0,0,0,2.1
4,20,21,13,0,0,0,0.5
4,20,22,11.6,0,0,0,0.7
4,20,23,10.3,0,0,0,1
4,20,24,10,0,0,0,1.5
4,21,1,9,0,0,0,0.7
4,21,2,8,0,0,0,0
4,21,3,6,0,0,0,0
4,21,4,4,0,0,0,0
4,21,5,4.2,0,0,0,0.5
4,21,6,4,0,0,0,0
4,21,7,3,0,0,0,0
4,21,8,4.3,17,0,17,0
4,21,9,6,150,178,103,0
4,21,10,9.2,286,144,223,0.5
4,21,11,12.5,299,78,254,0.5
4,21,12,15,314,56,276,0
4,21,13,16,277,8,272,0
4,21,14,17.6,202,5,199,0
4,21,15,18,174,0,174,0.5
4,21,16,19,130,0,130,0
4,21,17,18.7,72,0,72,1.5
4,21,18,17,23,0,23,1
4,21,19,16,0,0,0,2.1
4,21,20,15.8,0,0,0,1
4,21,21,15,0,0,0,2.6
4,21,22,13,0,0,0,2.1
4,21,23,11.4,0,0,0,2.1
4,21,24,10,0,0,0,1.5
4,22,1,10,0,0,0,1
4,22,2,9.7,0,0,0,1
4,22,3,9,0,0,0,0
4,22,4,10,0,0,0,1
4,22,5,8.8,0,0,0,0.5
4,22,6,8,0,0,0,0
4,22,7,8,0,0,0,0.5
4,22,8,7.5,15,0,15,0
4,22,9,11,150,186,102,0.5
4,22,10,14,347,462,146,0.5
4,22,11,17.3,521,652,148,0.5
4,22,12,18,637,754,137,1
4,22,13,19.3,686,799,125,1.2
4,22,14,20.7,664,791,122,1.5
4,22,15,21,563,703,132,2.6
4,22,16,20,399,503,152,3.6
4,22,17,17.6,204,224,130,3.1
4,22,18,16,48,13,47,2.1
4,22,19,16,1,0,1,2.1
4,22,20,13.9,0,0,0,1
4,22,21,14,0,0,0,1.5
4,22,22,13,0,0,0,1
4,22,23,13.1,0,0,0,1
4,22,24,13,0,0,0,0.5
4,23,1,13,0,0,0,0.5
4,23,2,13.4,0,0,0,1
4,23,3,13,0,0,0,1
4,23,4,13,0,0,0,0.5
4,23,5,12.5,0,0,0,0.5
4,23,6,13,0,0,0,0.5
4,23,7,13,0,0,0,1
4,23,8,12,5,0,5,1
4,23,9,13,47,0,47,0.5
4,23,10,14,105,0,105,0.5
4,23,11,15.3,156,0,156,0.5
4,23,12,16,190,2,189,0.5
4,23,13,17,204,3,203,1.5
4,23,14,17.5,198,2,196,2.1
4,23,15,18,171,1,170,2.6
4,23,16,17,126,0,126,2.1
4,23,17,16.3,69,0,69,1.5
4,23,18,16,16,0,16,1.5
4,23,19,15,0,0,0,1
4,23,20,14.4,0,0,0,1
4,23,21,14,0,0,0,0.5
4,23,22,14,0,0,0,1
4,23,23,12.5,0,0,0,0.5
4,23,24,12,0,0,0,0
4,24,1,12.4,0,0,0,0
4,24,2,12.9,0,0,0,0
4,24,3,13,0,0,0,0.5
4,24,4,12.9,0,0,0,0.5
4,24,5,12.8,0,0,0,0.5
4,24,6,11.9,0,0,0,0.5
4,24,7,11,0,0,0,0.5
4,24,8,10.1,15,0,15,0.5
4,24,9,13,144,221,89,1
4,24,10,14.6,326,403,154,1.1
4,24,11,16.1,484,551,173,1.2
4,24,12,17.7,591,644,169,1.3
4,24,13,19.2,636,665,175,1.4
4,24,14,20.8,615,658,170,1.5
4,24,15,20.3,530,584,177,2
4,24,16,19.7,389,499,148,2.6
4,24,17,19.2,212,282,121,3.1
4,24,18,17,48,28,44,2.6
4,24,19,15.7,0,0,0,1.8
4,24,20,14.5,0,0,0,1
4,24,21,14,0,0,0,1.4
4,24,22,13.4,0,0,0,1.7
4,24,23,12.9,0,0,0,2.1
4,24,24,12.4,0,0,0,1.8
4,25,1,12,0,0,0,1.5
4,25,2,11.9,0,0,0,1
4,25,3,11.8,0,0,0,1
4,25,4,11.7,0,0,0,1
4,25,5,11.6,0,0,0,1
4,25,6,11.8,0,0,0,1.2
4,25,7,12,0,0,0,1.5
4,25,8,11.9,5,0,5,1.5
4,25,9,12,45,0,45,1.5
4,25,10,12,103,0,103,2.1
4,25,11,14.3,153,0,153,1.5
4,25,12,15,249,7,244,1
4,25,13,17,328,17,316,1
4,25,14,18,369,71,321,1
4,25,15,18,357,107,293,1
4,25,16,18,287,118,231,1.5
4,25,17,17.6,167,128,127,2.1
4,25,18,16,36,0,36,3.1
4,25,19,15,0,0,0,3.1
4,25,20,13.5,0,0,0,1.5
4,25,21,13,0,0,0,2.1
4,25,22,11,0,0,0,1.5
4,25,23,11,0,0,0,1.5
4,25,24,9,0,0,0,1
4,26,1,8,0,0,0,0.5
4,26,2,6.5,0,0,0,0
4,26,3,5.7,0,0,0,0
4,26,4,5,0,0,0,0
4,26,5,5,0,0,0,0
4,26,6,3,0,0,0,0
4,26,7,2.7,0,0,0,0
4,26,8,2.5,15,0,15,0
4,26,9,8,148,178,104,0
4,26,10,12,338,480,136,0
4,26,11,13.8,503,645,144,1
4,26,12,15,617,749,132,0.5
4,26,13,16,666,797,119,1.5
4,26,14,17,645,793,115,2.1
4,26,15,18,555,746,110,1.5
4,26,16,18,405,606,117,1
4,26,17,17.7,217,356,106,1
4,26,18,16,45,41,40,2.1
4,26,19,14,0,0,0,1.5
4,26,20,11.6,0,0,0,1
4,26,21,10,0,0,0,1
4,26,22,9,0,0,0,1
4,26,23,9.4,0,0,0,1.5
4,26,24,7,0,0,0,0
4,27,1,5,0,0,0,0.5
4,27,2,4.8,0,0,0,0.5
4,27,3,5,0,0,0,0
4,27,4,4,0,0,0,0
4,27,5,2.5,0,0,0,0
4,27,6,1,0,0,0,0
4,27,7,1,0,0,0,0
4,27,8,3.5,15,0,15,0
4,27,9,6,146,178,102,0.5
4,27,10,11,336,483,134,0.5
4,27,11,13.7,502,654,140,0
4,27,12,16,616,758,128,0.5
4,27,13,18,663,804,115,0
4,27,14,19.8,643,804,109,1.5
4,27,15,19.9,552,732,119,1.8
4,27,16,20,402,578,130,2.1
4,27,17,19.8,214,356,104,2.1
4,27,18,17,43,35,39,2.1
4,27,19,15,0,0,0,1.5
4,27,20,13.5,0,0,0,1.5
4,27,21,12,0,0,0,1.5
4,27,22,11,0,0,0,1
4,27,23,8.5,0,0,0,0
4,27,24,8,0,0,0,0.5
4,28,1,5,0,0,0,0.5
4,28,2,4.7,0,0,0,0
4,28,3,4.3,0,0,0,0
4,28,4,4,0,0,0,0
4,28,5,3.7,0,0,0,0
4,28,6,3,0,0,0,0.5
4,28,7,2,0,0,0,0
4,28,8,2.2,14,0,14,0
4,28,9,5.9,143,176,101,0.3
4,28,10,9.6,332,482,133,0.7
4,28,11,13.3,495,642,142,1
4,28,12,14.8,602,748,123,1.2
4,28,13,16.2,638,730,143,1.3
4,28,14,17.7,598,637,178,1.5
4,28,15,18,521,653,138,2.1
4,28,16,17,383,534,134,2.6
4,28,17,15.9,204,322,106,2.1
4,28,18,15,40,26,37,1.5
4,28,19,13,0,0,0,1
4,28,20,10.6,0,0,0,2.1
4,28,21,9.3,0,0,0,1.3
4,28,22,8,0,0,0,0.5
4,28,23,6.4,0,0,0,0.5
4,28,24,6,0,0,0,0.5
4,29,1,5,0,0,0,1
4,29,2,4.8,0,0,0,0.5
4,29,3,3,0,0,0,0.5
4,29,4,3,0,0,0,1
4,29,5,2,0,0,0,0
4,29,6,1.5,0,0,0,0
4,29,7,1,0,0,0,0
4,29,8,-0.3,14,0,14,0.5
4,29,9,2,141,175,100,0
4,29,10,10,328,477,132,0.5
4,29,11,13.6,493,647,139,0.5
4,29,12,17,605,750,127,0.5
4,29,13,19,653,800,113,0.5
4,29,14,21.5,632,799,109,0.5
4,29,15,22.2,541,725,118,0.7
4,29,16,23,393,605,113,1
4,29,17,23.1,205,344,102,1
4,29,18,20,38,21,36,1.5
4,29,19,16,0,0,0,0.5
4,29,20,12.8,0,0,0,0.5
4,29,21,11,0,0,0,0
4,29,22,7,0,0,0,1
4,29,23,6.1,0,0,0,0
4,29,24,6,0,0,0,1
4,30,1,4.7,0,0,0,0.5
4,30,2,3.5,0,0,0,0
4,30,3,4,0,0,0,0
4,30,4,4,0,0,0,0.5
4,30,5,2.6,0,0,0,0.5
4,30,6,2,0,0,0,0.5
4,30,7,2,0,0,0,0
4,30,8,3.3,12,0,12,0
4,30,9,8,128,155,91,0
4,30,10,13,293,344,153,0
4,30,11,16,427,426,195,1
4,30,12,18,505,427,234,1.5
4,30,13,19,517,343,287,2.6
4,30,14,18.5,469,268,294,3.1
4,30,15,19,401,273,243,2.1
4,30,16,17,289,148,221,3.6
4,30,17,15.7,150,76,128,3.1
4,30,18,14,32,0,32,3.1
4,30,19,11.5,0,0,0,1
4,30,20,10.5,0,0,0,1.5
4,30,21,9.6,0,0,0,1.5
4,30,22,8.9,0,0,0,1
4,30,23,8.7,0,0,0,0.5
4,30,24,9,0,0,0,0
5,1,1,9.5,0,0,0,1
5,1,2,9.8,0,0,0,0.5
5,1,3,9.9,0,0,0,0.5
5,1,4,9.5,0,0,0,1
5,1,5,9,0,0,0,1
5,1,6,8.5,0,0,0,0.5
5,1,7,7,0,0,0,1
5,1,8,7.5,12,0,12,1
5,1,9,10,128,168,90,2.1
5,1,10,13,311,426,139,0
5,1,11,16.3,475,635,132,1.5
5,1,12,18,587,736,123,0.5
5,1,13,20,634,773,119,1
5,1,14,21.1,610,758,119,4.6
5,1,15,22,521,700,118,3.6
5,1,16,22,373,554,121,3.6
5,1,17,21.7,190,283,107,4.1
5,1,18,20,32,0,32,3.6
5,1,19,18,0,0,0,2.6
5,1,20,16,0,0,0,2.6
5,1,21,16,0,0,0,3.1
5,1,22,13,0,0,0,1.5
5,1,23,12.3,0,0,0,0
5,1,24,11,0,0,0,0
5,2,1,12,0,0,0,0.5
5,2,2,8.9,0,0,0,1
5,2,3,8,0,0,0,0
5,2,4,8,0,0,0,2.1
5,2,5,7.8,0,0,0,1
5,2,6,7,0,0,0,0.5
5,2,7,7,0,0,0,1.5
5,2,8,6.3,7,0,7,1
5,2,9,9,72,0,72,0
5,2,10,13,176,23,166,1.5
5,2,11,16.7,268,41,246,0.5
5,2,12,18,331,74,284,1
5,2,13,20,357,77,306,1.5
5,2,14,20.2,344,91,285,4.6
5,2,15,22,293,46,267,0.5
5,2,16,23,209,22,199,0.5
