,SSR2,SSR3,cost2,cost3,SCR2,SCR3
0,42.60985952375044,43.13434641450865,7521.1682352153475,7494.911004745432,64.67424903203765,65.47032759615561
1,42.232871950792216,43.27677016264024,7632.175584558197,7580.1596721663045,64.98722286440129,66.59274575431364
2,41.8645861481041,43.40698228906163,7743.489084254867,7666.294309390036,65.29639948613179,67.70126997409136
3,41.54054566641773,43.49874054113442,7852.03577460254,7752.814048519178,65.66010093929377,68.75446226970496
4,41.227889589410836,43.64587992612351,7966.551566178237,7838.32028849338,66.03001901283831,69.90263896734128
5,40.941736780299046,43.71669334507359,8072.2514610395865,7925.358719457439,66.43136604132525,70.9331452835947
6,40.58564642607574,43.7347324916402,8186.4198583836405,8015.724172754972,66.70119149585221,71.87497526856585
7,40.246465630754976,43.79236558065751,8298.647341690748,8105.993907061142,66.99031214942013,72.89246879278667
8,39.916037724822466,43.81262316156475,8408.568502837157,8193.13444990618,67.27394147965437,73.83955323551855
9,39.51922700817554,43.7892294455313,8524.311460383506,8286.013230406686,67.4290230019041,74.71300463668389
10,39.23514567562752,43.797075215839264,8639.739743806711,8380.622669800267,67.77400031266701,75.65336590146458
11,39.0110844846635,43.880113527301624,8748.162439405356,8465.253758955841,68.19876899818784,76.71075453539814
12,38.60071666221005,43.882015254674464,8862.17341263279,8550.828842601279,68.2918597619555,77.63546097003066
13,38.35535178922944,43.85764212388183,8969.0218760505,8641.94529651995,68.66166765567009,78.51156897788917
14,37.92855792928224,43.674298822135675,9093.59459933263,8742.58517740263,68.69473255963456,79.10119554004747
15,37.688699734716856,43.61790702591474,9212.3301557192,8844.455852607547,69.05165275726696,79.91326482700912
16,37.350280523687395,43.68424328238406,9319.512900433923,8925.556467149567,69.20676510832824,80.94058519507932
17,37.11212690820469,43.518319953692554,9433.203395501463,9026.81575316694,69.55027944912217,81.55341379929156
18,36.83306520549163,43.47597445062011,9545.298755409955,9118.795176323363,69.79654238851268,82.38366015450727
19,36.558218081440714,43.34318470569503,9661.15756182074,9218.673483141412,70.04059187505226,83.03642405312883
