,cost2,E SC2,SCR2,SSR2,SSR2 ewh,cost3,E SC3,SCR3,SSR3,SSR3 ewh
0,4127.280747999999,0.0,,0.0,0.0,4127.280747999999,0.0,,0.0,0.0
1,4093.9930606353664,667.9589583396162,100.0,1.6509470007014884,5.259289819510998,4093.9930606353664,667.9589583396162,100.0,1.6509470007014884,5.259289819510998
2,4060.7053732707323,1335.9179166792323,100.0,3.3018940014029767,9.551216026348298,4060.7053732707323,1335.9179166792323,100.0,3.3018940014029767,9.551216026348298
3,4027.417685906099,2003.8768750188488,100.0,4.952841002104466,13.025311374489895,4027.417685906099,2003.8768750188488,100.0,4.952841002104466,13.025311374489895
4,3994.1299985414653,2671.8358333584647,100.0,6.6037880028059535,15.950370807386571,3994.1367185414656,2671.8358333584647,100.0,6.6037880028059535,15.950370807386571
5,3960.8423111768316,3339.794791698081,100.0,8.254735003507442,18.408471755319958,3960.8719211768316,3339.794791698081,100.0,8.254735003507442,18.408471755319958
6,3927.5546238121974,4007.7537500376975,100.0,9.905682004208932,20.522207380692233,3927.4519338121977,4007.7537500376975,100.0,9.905682004208932,20.504337473615752
7,3894.2669364475646,4675.712708377314,100.0,11.556629004910421,22.335484732319742,3893.9986614475642,4675.712708377314,100.0,11.556629004910421,22.34600543361269
8,3860.9792490829304,5343.671666716929,100.0,13.207576005611907,23.954771830627255,3860.7440490829304,5343.671666716929,100.0,13.207576005611907,24.003617965244693
9,3827.6915617182967,6011.630625056547,100.0,14.858523006313398,25.411382633102157,3827.326266718297,6011.630625056547,100.0,14.858523006313398,25.549399840124394
10,3794.403874353663,6679.589583396162,100.0,16.509470007014883,26.721351713903797,3793.786159353663,6679.589583396162,100.0,16.509470007014883,26.90616175302719
11,3761.1161869890293,7347.548541735778,100.0,18.160417007716372,27.89126978504648,3760.63980198903,7347.548541735778,100.0,18.160417007716372,28.27932779213265
12,3727.949972643951,8013.857978914071,99.97942087682772,19.807287003416462,28.950023249019903,3727.8836303541893,8013.87255927792,99.97960277877029,19.807323040672443,29.74216134937211
13,3695.6887282174634,8666.427457822403,99.8037765139739,21.420196914275497,29.91830100952569,3695.223211345794,8674.12654428631,99.89244025789203,21.439226202747534,31.615104922027488
14,3666.335109380545,9272.921585858745,99.16051481568542,22.91922563321599,30.809511204757527,3663.637806689653,9320.54338538864,99.6697612397073,23.037526945509885,33.75086268045167
15,3640.5124329704217,9823.078645478037,98.04074060573846,24.279009997439484,31.62013782801934,3632.5913417980787,9969.114388248156,99.49827269855975,24.6412352170306,36.701118055606344
16,3619.6096281667865,10299.045335427032,96.36674909851459,25.455423262647287,32.34199454614769,3603.118014847982,10615.707920513792,99.3297173049923,26.238095818432605,40.545495655315314
17,3602.430839811613,10718.383960616942,94.39100505833333,26.49187293802326,32.97545953066084,3573.827314729718,11267.831039399629,99.22968803360507,27.8499024927362,44.266401224316716
18,3589.0867325018025,11082.199594074265,92.17299169948606,27.39109035455095,33.55057787758834,3546.873331013778,11875.624306472953,98.77207239725618,29.35214220191767,47.610480844232434
19,3578.3888584707975,11405.879200287463,89.87220308958808,28.1911063860662,34.0806228409328,3521.7799868586135,12448.987999106874,98.09134027014595,30.76928476261946,51.26308756745333
20,3569.3227053978835,11706.657619160982,87.63006673539412,28.934519169614042,34.56512950209809,3499.7432770428027,12966.203999867075,97.05838837836616,32.04765103723677,54.245575751140684
21,3562.047351560198,11982.98465776371,85.42715235899908,29.61749720276731,35.01604240715629,3481.0734650957224,13439.388734266351,95.80991228843367,33.217188339313076,56.75090435412802
22,3556.246701083921,12239.40154816263,83.28901455117985,30.25126472822366,35.42623120342957,3466.3219436808695,13848.167406071767,94.23665136345114,34.22753772342113,59.090032305332876
23,3551.422115239735,12481.252316922408,81.24198911306564,30.849030199164908,35.79697890981497,3453.88732160181,14217.432348379276,92.54299606592569,35.140223811923036,61.11375863556425
24,3548.1458003671232,12700.92633833758,79.22721261391192,31.39198296933049,36.14413270020875,3444.3991039732146,14532.437934628153,90.65201382751783,35.918800880661706,62.23622601881221
25,3545.9862746304334,12904.726646108144,77.27856021685024,31.895701802134557,36.478170156951435,3436.816791643856,14825.614900818393,88.78159183714686,36.64342569026033,63.08352753178953
26,3544.801895215686,13095.364822792182,75.40401569756551,32.36688872475337,36.80392502253355,3431.383773179113,15079.099905700952,86.82649940501602,37.269946681271406,63.95986317848973
27,3544.6949207442703,13270.28457295059,73.58117068182185,32.79922552221968,37.10966599115477,3427.053254912117,15327.436216397542,84.98768011745217,37.883742008351,64.76908167241128
28,3545.3692607266694,13433.864244510658,71.82789599349027,33.20353384800235,37.39938198187641,3424.806216361368,15534.820561137209,83.06124397519122,38.39631925230543,65.46079304409231
29,3546.7640002065136,13587.090981519272,70.1420907412794,33.582253556351596,37.67814891878078,3424.3240378468627,15714.444350124057,81.12435421639734,38.840282690447836,66.13086133758183
30,3548.4936069440905,13734.22416245894,68.5382636711637,33.94591225235865,37.95118471880385,3423.1563801155626,15905.034747104735,79.37131739670947,39.31135151934701,66.80479284065736
31,3550.9256052858545,13871.574325685055,66.99066371540697,34.28539095414548,38.208308536676036,3424.1478558343742,16058.01957848766,77.54976935285693,39.689473326639316,67.08747865979387
32,3554.0001464438046,14000.246258073572,65.49918825137657,34.60342028543754,38.43600077748783,3425.2456669461535,16213.113284677598,75.85193428734127,40.07280749090959,67.60059189864155
33,3557.379036801072,14124.79995290675,64.07942219401302,34.91127085970376,38.64486783455862,3427.826642261315,16343.142923563406,74.14329115228283,40.394192569499516,67.88768263640377
34,3561.1163943789297,14244.61605398167,62.72231107533527,35.20741185794278,38.837479803102035,3429.737111414045,16486.617451084167,72.59435736478875,40.748808430145,68.53564733099196
35,3565.304112558314,14358.309942564669,61.416561872329666,35.488421015782016,39.01516136548534,3433.7130969556533,16598.580726548247,70.99914713241104,41.025540153716186,68.89003553583004
36,3569.7218758071795,14468.075596050465,60.16701831175121,35.759721032257396,39.18719370816691,3437.1059207993294,16726.77379686204,69.56005300435729,41.3423859154249,69.40832697045266
37,3574.5309163042934,14571.80846350815,58.96060772279606,36.01611023741027,39.35216674678107,3441.47273258206,16835.81867019816,68.12127010806867,41.61190443049003,69.83571503459522
38,3579.646090422476,14670.920443293655,57.79948737128684,36.261078320729645,39.51105263715362,3446.0427758255646,16943.23266286264,66.75178739542307,41.87739201293611,70.31193617241246
39,3584.961762236891,14766.818722336582,56.68557517920081,36.498103326804724,39.66549759648972,3449.959228921118,17055.948754235025,65.47288779934335,42.1559844184405,70.71888805010165
40,3590.4722565509683,14859.854579394254,55.61664528136671,36.72805348654038,39.8197658675531,3455.794681955098,17146.8130674494,64.17614755131143,42.38056732656552,71.07281712731968
41,3596.4696452997932,14946.643394518254,54.57704749125123,36.942563273757806,39.969376516353265,3460.747199356903,17249.394028936724,62.98544577960931,42.6341094470538,71.48035592576714
42,3602.7640427456645,15029.172560566709,53.57177075785493,37.1465447870783,40.11173049569954,3466.5415753996313,17338.667351095806,61.804008759387315,42.854760014908386,71.9287961357471
43,3609.307545503299,15108.246125304237,52.60121998018696,37.34198533459742,40.251036166012355,3472.2784290480276,17428.269263378585,60.678666325238154,43.07622273577388,72.44139457766421
44,3616.094108835997,15184.19780428125,51.66416294506762,37.52970973748144,40.388384823799036,3478.3507131890665,17512.996401732857,59.58788942412214,43.28563682207001,72.95416239114832
45,3623.1118050404325,15257.22213652077,50.759013945163204,37.7101988240995,40.52087765709594,3484.7397466317107,17594.407004575885,58.53455776621469,43.48685366168407,73.33360611878719
46,3630.2570624543096,15328.488848497693,49.887498967590155,37.886343724799126,40.649951316963275,3490.8943860450713,17674.302198420588,57.52209114618623,43.68545870163567,73.64927888146282
47,3637.5651823414637,15397.373739170507,49.0454828830261,38.056601645933426,40.77397188801568,3497.7806403539616,17750.47771888985,56.540859881358486,43.872602627959594,74.06267150643345
48,3645.0615545245964,15463.142083108369,48.2288304357613,38.21915661852518,40.88910462515789,3504.775680309052,17823.972830374914,55.592153179967895,44.054255306402744,74.35096748964838
49,3652.723577874229,15526.684931634649,47.43871118091342,38.37621099122386,40.99753609406217,3512.138159354511,17890.884700116432,54.66205540956339,44.21963665099266,74.58751280395698
50,3660.5705198974692,15587.011517906285,46.670566576880155,38.5253159555697,41.09886887633566,3519.413594021681,17959.686536014433,53.77482047896432,44.38968929150356,74.78937120872824
51,3668.5582907705857,15644.960133491495,45.92556479048479,38.6685434576501,41.19782981354786,3527.0501881071823,18021.904671395947,52.903052712952125,44.54346946424454,75.02424232062972
52,3676.7158918129885,15700.289510288752,45.20167603996975,38.80529717213157,41.29622078947626,3535.0301770688734,18082.38053572864,52.05979841784638,44.69294338863515,75.2136857630695
53,3685.011696632456,15753.54011844992,44.49923192097716,38.93691294093231,41.39342165080082,3542.785760867974,18143.571443761484,51.250384832879256,44.844184636058706,75.42277732814101
54,3693.4753480742875,15804.593403505743,43.81671238424623,39.063097741340385,41.488642731261756,3550.532796813728,18204.658808112283,50.470662463955165,44.995169961873344,75.64856482435893
55,3702.059519386707,15853.854421758875,43.15413319614102,39.18485272242286,41.58268385917495,3558.659660261164,18262.81648834652,49.7113190463717,45.138914194287175,75.89198955227869
56,3710.79955588581,15900.738861780006,42.508864031817005,39.30073368287118,41.67300590610805,3567.038910074525,18312.626467682763,48.95677838287803,45.26320067922822,76.05611116100613
57,3719.7255353003266,15945.131272796047,41.87969060735952,39.4104552711601,41.761834857694346,3575.563622347713,18364.526916268198,48.23420342208153,45.390304678419255,76.23000590149759
58,3728.8083185876853,15987.259455668445,41.26636838485657,39.514580526596575,41.849614436665725,3583.7277840407687,18422.8737998692,47.55318439919183,45.534516551437335,76.55933355035638
59,3737.9906724735647,16028.001426255656,40.670319296002944,39.61527957899168,41.93739401563709,3592.557241037167,18468.1641540297,46.862120421638366,45.64645752240334,76.70207610628793
60,3747.234306266557,16067.878547460668,40.091980569688275,39.71384104422553,42.024027518911815,3600.7852906531334,18521.431357515125,46.21399545154417,45.78049050922937,76.93536301452951
61,3756.5639239752245,16106.397017799747,39.52926928775743,39.8090444280322,42.107680457522676,3609.402481723639,18570.901414844426,45.57780130047132,45.901577199626644,77.17444641912408
62,3765.9485342146936,16144.10102663481,38.98274332352821,39.90223476483882,42.18807458661124,3618.576659287435,18611.03850262258,44.939593461108764,45.999589963164276,77.28240137538258
63,3775.375789030528,16181.199159017726,38.45212761783633,39.993927599592396,42.26639160720381,3628.065096391104,18647.01282319581,44.31175401295056,46.08970127654522,77.3579237321844
64,3784.88111793238,16217.295954369356,37.93575130976613,40.083145500298215,42.341623142863945,3637.0082866413245,18693.20069849217,43.727426253849984,46.20266446220106,77.50822046229413
65,3794.4415324246515,16252.62183232978,37.43348790523541,40.17045797891349,42.41685467852409,3646.1824484609547,18732.746914134445,43.14578055629117,46.30160967592501,77.59021493653586
66,3804.0357606927237,16287.472906673313,36.94536759246228,40.25659691894912,42.49175027515308,3655.5559906996677,18770.4557043678,42.577592598282415,46.394814249431455,77.7316091345124
67,3813.6384343632353,16322.209460912785,36.47156214303282,40.34245280772845,42.56643520849225,3664.769698927924,18811.17236240126,42.03308647898284,46.49545335037136,77.8182892144203
68,3823.2927079149777,16356.273988191226,36.010212603588684,40.42664769491201,42.6404800674988,3674.217290594026,18848.740534552104,41.49766349286748,46.58710129417507,77.92817885889353
69,3833.0648211255675,16388.686544052107,35.558651220281604,40.50675952096883,42.71397930102757,3683.803440891147,18882.016132204186,40.96844638379244,46.67055743907878,78.01040880437208
70,3842.8679866795615,16420.662928748516,35.11905874654826,40.58579329355126,42.7853546989989,3693.459870284323,18917.89931616616,40.459926638075125,46.758036172212655,78.04688806764749
71,3852.727208037879,16451.845231668856,34.69017476754785,40.662864390268446,42.85474613512691,3703.674058074677,18943.731649950285,39.94453828323798,46.821884127913464,78.04369799725681
72,3862.763591424699,16480.900205664853,34.2687808715581,40.73467751826868,42.92324365189485,3713.679123432419,18973.3916129235,39.45142507143191,46.89519256445763,78.14707809534018
73,3872.833339276185,16509.43656751545,33.857868434102805,40.805208829242176,42.99174116866279,3723.63832951913,19002.801835327013,38.97130963789489,46.96788373486686,78.25035387025264
74,3882.930166172554,16537.43324265602,33.456969895122576,40.874406234675334,43.05932477225505,3733.765428877974,19030.057270698017,38.49981093595306,47.0352490702917,78.26428010978266
75,3893.077092500452,16564.659525872445,33.06522418093504,40.94169951677778,43.12576206660339,3744.086529838588,19055.109574465685,38.036487794264204,47.097169080869456,78.33181607054215
76,3903.3111378741846,16590.578636699727,32.68121261037204,41.00576195316986,43.19207553938089,3754.3894582142234,19079.47046497316,37.58399537553075,47.157380174104446,78.36299916496048
77,3913.5892187415116,16615.745370017525,32.30571253145811,41.06796479118816,43.257413111920265,3764.8209578638507,19102.30553443545,37.14028937859814,47.2138200031821,78.35763664880027
78,3923.870751383609,16640.85208910866,31.939725471007552,41.13001929627931,43.32064492884158,3774.946578693042,19128.895613249006,36.71516765963032,47.27954082377679,78.40588385386948
79,3934.1739800818586,16665.657632376493,31.582433159285582,41.19132940635044,43.382758372862426,3785.5052632609404,19150.24001792897,36.290867644823486,47.33229628195006,78.45413105893869
80,3944.4833344947046,16690.37781783349,31.2339134191001,41.25242854354663,43.444669493496825,3796.0684827789455,19171.982797595076,35.87792063836521,47.386036375452065,78.50237826400792
81,3954.842151923229,16714.41214863362,30.892731460630397,41.31183250220746,43.506580614131224,3806.637189013447,19192.0252085553,35.472027115354834,47.43557378766652,78.55062546907713
82,3965.259776974811,16737.69510297597,30.55849920338069,41.36937933672334,43.56833925740645,3817.3391934494457,19211.442869234532,35.074892809519234,47.483567048717624,78.58100276706986
83,3975.7060552622393,16760.463100395573,30.231391890928283,41.42565338856825,43.62937681577664,3827.5897778559515,19236.64485529364,34.697761380666506,47.545857018447855,78.5918077670922
84,3986.1800160599614,16782.831419986796,29.91136051821856,41.48093958494125,43.68923693327517,3838.1474628434084,19257.49951134339,34.32186120139573,47.597401999507134,78.69149118180462
85,3996.699887814007,16804.589821975816,29.597785052627195,41.53471829103589,43.74637577188963,3849.146559637502,19273.15222316453,33.945643590883996,47.63608970226388,78.73756487528757
