,EWH,LV,MV,Tariff,EWH flex,PV
127,7.35,10.791000000000004,17.6251875,c,0.0,-0.018000000000000006
128,7.35,11.378000000000007,18.15325,c,1.05,5.321472343213263
129,4.2,10.297999999999998,21.6190625,c,2.1,8.312056103185684
130,6.3,10.648999999999996,25.084875,c,1.05,6.152765733543271
131,7.35,10.472000000000003,28.5506875,c,3.1500000000000004,9.394499636915674
132,6.3,10.268,32.0165,c,3.1500000000000004,11.42919539547057
133,6.3,11.873000000000005,34.018375,c,3.1500000000000004,15.633518364847841
134,3.1500000000000004,12.39,36.02025,c,4.2,20.026400241925003
135,2.1,13.590000000000007,38.022125,c,1.05,21.076583325045686
136,3.1500000000000004,13.603999999999996,40.024,c,4.2,23.259054237628256
137,2.1,12.76,40.63699999999999,c,4.2,21.83269749843554
138,3.1500000000000004,11.606000000000005,41.25,c,6.3,24.129177674474192
139,4.2,11.561999999999998,41.863,c,11.550000000000002,27.592922528430677
140,3.1500000000000004,11.903000000000004,42.476000000000006,c,9.450000000000001,26.69849147442329
141,1.05,12.393,41.400125,c,6.3,26.586401801885433
142,0.0,13.417000000000002,40.32425,c,5.25,28.806338469157055
143,1.05,13.864000000000004,39.248375,c,7.35,30.112427001294034
144,2.1,12.816000000000004,38.1725,c,8.4,29.606856538785237
145,1.05,15.280999999999995,38.48425,c,5.25,29.70169518497802
146,0.0,13.850999999999999,38.796,c,6.3,29.750590133849858
147,0.0,14.361000000000004,39.10775,c,5.25,29.900158391226626
148,0.0,14.391000000000005,39.4195,c,5.25,29.93544111546434
149,0.0,14.939000000000002,39.301,c,5.25,29.770689066259656
150,0.0,14.374999999999998,39.1825,c,5.25,29.681696637864917
151,0.0,12.445000000000007,39.06399999999999,c,6.3,29.222557243190796
152,0.0,13.063,38.9455,c,5.25,28.615153070870708
153,0.0,13.586999999999994,37.212125,c,4.2,27.728204715172335
154,0.0,13.387999999999991,35.47875,c,3.1500000000000004,26.78712574322858
155,0.0,13.137,33.745375,c,3.1500000000000004,25.804384689478393
156,0.0,13.909000000000002,32.012,c,1.05,24.65669622419171
157,0.0,14.789000000000007,32.5990625,c,1.05,23.594065784307816
158,0.0,13.995,33.186125,c,0.0,22.26181969036036
159,0.0,13.49200000000001,33.77318749999999,c,0.0,20.647445320288256
160,0.0,13.355999999999993,34.36024999999999,c,0.0,19.15185921610784
161,2.1,11.902999999999995,33.995875,c,2.1,17.271599261176892
162,2.1,12.092000000000008,33.6315,c,2.1,15.333439424010324
163,0.0,12.108000000000004,33.26712499999999,c,0.0,13.873161937322111
164,0.0,11.466999999999995,32.90275,p,0.0,11.333252247614574
165,1.05,13.185999999999995,31.7621875,p,1.05,9.278216928148684
